DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.122625	12	2	2	1	6	7	4	0	84	2	1	2.61744	0	0
DL	0.122625	12	2	2	1	6	3	2	0	440	13	1	11.2604	0	0
DL	0.122732	12	2	2	7	6	7	4	0	84	2	2	2.64306	0	0
DL	0.122732	12	2	2	7	6	3	2	0	440	13	2	11.2106	0	0
DL	0.122875	12	2	3	1	6	7	4	0	84	2	0	0.656291	1	0.982954
DL	0.122875	12	2	3	1	6	3	2	0	440	13	0	7.64037	1	1
DL	0.122964	12	2	3	1	11	2	2	0	1394	20	1	23.095	0	0
DL	0.122982	12	2	3	7	6	7	2	0	440	13	0	11.2384	0	0.021
DL	0.122982	12	2	3	7	6	3	4	0	269	8	0	9.39842	0	0
DL	0.123125	12	3	0	1	6	7	4	0	84	2	0	0.798551	1	0.982954
DL	0.123125	12	3	0	1	6	3	2	0	440	13	0	7.48892	1	1
DL	0.123214	12	3	0	1	11	2	2	0	1394	20	2	23.0104	0	0.0167294
DL	0.123232	12	3	0	7	6	7	2	0	440	13	0	11.3869	0	0.021
DL	0.123232	12	3	0	7	6	3	4	0	269	8	0	9.36474	0	0
DL	0.123375	12	3	1	1	6	7	4	0	84	2	0	0.726411	1	0.982954
DL	0.123375	12	3	1	1	6	3	2	0	440	13	0	7.52408	0	0
DL	0.123482	12	3	1	1	12	2	2	0	1521	20	0	22.9316	0	0
DL	0.123482	12	3	1	7	6	7	2	0	440	13	0	11.4133	0	0
DL	0.123482	12	3	1	7	6	3	4	0	269	8	0	9.35458	0	0
DL	0.123625	12	3	2	1	6	7	4	0	84	2	1	0.787867	0	0
DL	0.123625	12	3	2	1	6	3	2	0	200	6	0	7.44402	0	0
DL	0.123679	12	3	2	1	9	2	2	0	1140	20	0	22.9789	0	0.00039996
DL	0.123732	12	3	2	7	6	7	4	0	84	2	2	1.9719	0	0.0062
DL	0.123732	12	3	2	7	6	3	4	0	269	8	0	9.47004	0	0
DL	0.123875	12	3	3	1	6	7	4	0	84	2	1	2.90506	0	0
DL	0.123875	12	3	3	1	6	3	2	0	440	13	1	11.0261	0	0
DL	0.123982	12	3	3	7	6	7	4	0	84	2	2	2.8547	0	0
DL	0.123982	12	3	3	7	6	3	2	0	440	13	2	10.9856	0	0
DL	0.124125	12	4	0	1	6	3	2	0	200	6	0	11.0961	0	0
DL	0.124232	12	4	0	1	12	7	2	0	884	13	0	11.281	0	0.0001
DL	0.124232	12	4	0	7	6	3	4	0	269	8	0	9.54306	0	0
DL	0.124375	12	4	1	1	6	7	2	0	440	13	0	11.3835	0	0.021
DL	0.124375	12	4	1	1	6	3	2	0	200	6	0	11.0272	0	0
DL	0.124482	12	4	1	7	6	7	4	0	84	2	0	2.91039	0	0
DL	0.124482	12	4	1	7	6	3	4	0	269	8	0	9.37596	0	0
DL	0.124607	12	4	2	1	5	7	2	0	366	13	0	11.3739	0	0.0024
DL	0.124625	12	4	2	1	6	3	2	0	440	13	0	10.929	0	0
DL	0.124714	12	4	2	6	6	7	4	0	84	2	0	2.94715	0	0
DL	0.124732	12	4	2	7	6	3	4	0	269	8	0	9.54288	0	0
UL	0.124732	12	4	2	12	1	7	2	0	61	12	0	10.932 	0	0.0025
DL	0.124875	12	4	3	1	6	3	2	0	440	13	0	11.0101	0	0
DL	0.124875	12	4	3	1	6	7	2	0	440	13	0	11.3292	0	0.021
DL	0.124982	12	4	3	7	6	3	4	0	269	8	0	9.40513	0	0
DL	0.124982	12	4	3	7	6	7	4	0	84	2	0	2.92738	0	0
DL	0.125125	12	5	0	1	6	3	2	0	440	13	0	11.0152	0	0
DL	0.125125	12	5	0	1	6	7	2	0	440	13	0	11.3823	0	0.021
DL	0.125232	12	5	0	7	6	3	4	0	269	8	0	9.33046	0	0
DL	0.125232	12	5	0	7	6	7	4	0	84	2	0	2.91699	0	0
DL	0.125375	12	5	1	1	6	3	2	0	440	13	0	7.52809	1	1
DL	0.125375	12	5	1	1	6	7	2	0	440	13	0	-1.25669	1	1
DL	0.125464	12	5	1	1	11	2	2	0	1394	20	0	23.049	0	0
DL	0.125482	12	5	1	7	6	3	4	0	269	8	0	9.2811	0	0
DL	0.125482	12	5	1	7	6	7	4	0	84	2	0	2.89827	0	0
DL	0.125625	12	5	2	1	6	3	2	0	440	13	0	11.1003	0	0
DL	0.125625	12	5	2	1	6	7	2	0	440	13	0	11.4763	0	0
DL	0.125732	12	5	2	7	6	3	4	0	269	8	0	9.36179	0	0
DL	0.125732	12	5	2	7	6	7	4	0	84	2	0	2.88768	0	0
DL	0.125875	12	5	3	1	6	3	2	0	440	13	0	11.0837	0	0
DL	0.125875	12	5	3	1	6	7	2	0	440	13	0	11.4349	0	0.021
DL	0.125982	12	5	3	7	6	3	4	0	269	8	0	9.26155	0	0
DL	0.125982	12	5	3	7	6	7	4	0	84	2	0	2.95183	0	0
DL	0.126125	12	6	0	1	6	3	2	0	440	13	1	11.1112	0	0
DL	0.126125	12	6	0	1	6	7	2	0	440	13	1	11.4716	0	0
DL	0.126232	12	6	0	7	6	3	2	0	440	13	2	11.0877	0	0
DL	0.126232	12	6	0	7	6	7	2	0	440	13	2	11.5066	0	0
DL	0.126375	12	6	1	1	6	3	2	0	440	13	0	7.55086	1	1
DL	0.126375	12	6	1	1	6	7	2	0	440	13	0	-1.42433	1	1
DL	0.126464	12	6	1	1	11	2	2	0	1394	20	0	23.1287	0	0
DL	0.126482	12	6	1	7	6	3	4	0	269	8	0	9.24027	0	0
DL	0.126482	12	6	1	7	6	7	4	0	84	2	0	2.94744	0	0
UL	0.126536	12	6	2	1	1	2	2	0	147	22	0	27.1817 	0	0.178698
DL	0.126625	12	6	2	1	6	3	2	0	440	13	0	11.0345	0	0
