% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0192143	1	0	0	2.30456e-13	485.843	0
0.0192143	1	0	0	1.54786e-13	326.316	0
0.0192143	1	0	0	1.83068e-13	385.942	0
0.0192143	1	0	0	3.81559e-13	804.398	0
0.0192143	1	0	0	1.33598e-13	281.65	0
0.0192143	1	0	0	2.79965e-13	590.219	0
0.0192143	1	0	0	1.19721e-13	252.395	0
0.0202143	1	0	0	1.22339e-13	257.913	0
0.0202143	1	0	0	2.86791e-13	604.609	0
0.0202143	1	0	0	4.89662e-13	1032.3	0
0.0202143	1	0	0	1.18482e-13	249.782	0
0.0202143	1	0	0	1.19034e-13	250.946	0
0.0202143	1	0	0	1.59157e-12	3355.33	0
0.0202143	1	0	0	2.94307e-13	620.453	0
0.0202143	1	0	0	2.30455e-13	485.842	0
0.0202143	1	0	0	1.54784e-13	326.314	0
0.0202143	1	0	0	1.83067e-13	385.938	0
0.0202143	1	0	0	3.81556e-13	804.391	0
0.0202143	1	0	0	1.33598e-13	281.648	0
0.0202143	1	0	0	2.79963e-13	590.214	0
0.0202143	1	0	0	1.1972e-13	252.393	0
0.0212143	1	0	0	1.2234e-13	257.915	0
0.0212143	1	0	4	2.86792e-13	604.611	0
0.0212143	1	0	8	4.89667e-13	1032.31	0
0.0212143	1	0	1	1.18481e-13	249.78	0
0.0212143	1	0	7	1.19034e-13	250.946	0
0.0212143	1	0	2	1.59154e-12	3355.26	0
0.0212143	1	0	9	2.94308e-13	620.456	0
0.0212143	1	0	0	2.30454e-13	485.841	0
0.0212143	1	0	6	1.54783e-13	326.312	0
0.0212143	1	0	0	1.83065e-13	385.935	0
0.0212143	1	0	0	3.81553e-13	804.384	0
0.0212143	1	0	5	1.33597e-13	281.647	0
0.0212143	1	0	3	2.7996e-13	590.208	0
0.0212143	1	0	10	1.1972e-13	252.391	0
0.0222143	1	0	0	1.2234e-13	257.916	0
0.0222143	1	0	4	2.86793e-13	604.612	0
0.0222143	1	0	8	4.89672e-13	1032.32	0
0.0222143	1	0	1	1.18481e-13	249.779	0
0.0222143	1	0	7	1.19034e-13	250.946	0
0.0222143	1	0	2	1.59151e-12	3355.19	0
0.0222143	1	0	9	2.94309e-13	620.458	0
0.0222143	1	0	0	2.30454e-13	485.84	0
0.0222143	1	0	6	1.54782e-13	326.31	0
0.0222143	1	0	0	1.83063e-13	385.932	0
0.0222143	1	0	0	3.8155e-13	804.378	0
0.0222143	1	0	5	1.33596e-13	281.646	0
0.0222143	1	0	3	2.79958e-13	590.203	0
0.0222143	1	0	10	1.19719e-13	252.39	0
0.0232143	1	0	0	1.22341e-13	257.918	0
0.0232143	1	0	4	2.86793e-13	604.614	0
0.0232143	1	0	8	4.89677e-13	1032.33	0
0.0232143	1	0	1	1.1848e-13	249.778	0
0.0232143	1	0	7	1.19034e-13	250.945	0
0.0232143	1	0	2	1.59147e-12	3355.12	0
0.0232143	1	0	9	2.94311e-13	620.461	0
0.0232143	1	0	0	2.30453e-13	485.838	0
0.0232143	1	0	6	1.54781e-13	326.308	0
0.0232143	1	0	0	1.83062e-13	385.928	0
0.0232143	1	0	0	3.81547e-13	804.371	0
0.0232143	1	0	5	1.33596e-13	281.644	0
0.0232143	1	0	3	2.79956e-13	590.198	0
0.0232143	1	0	10	1.19718e-13	252.388	0
0.0242143	1	0	0	1.22342e-13	257.919	0
0.0242143	1	0	4	2.86794e-13	604.615	0
0.0242143	1	0	8	4.89682e-13	1032.34	0
0.0242143	1	0	1	1.18479e-13	249.777	0
0.0242143	1	0	7	1.19034e-13	250.945	0
0.0242143	1	0	2	1.59144e-12	3355.05	0
0.0242143	1	0	9	2.94312e-13	620.464	0
