DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.122732	12	2	2	7	6	5	4	0	269	8	0	9.9609	0	0.0599
DL	0.122875	12	2	3	1	6	5	2	0	551	15	0	15.1753	0	0.0041
DL	0.122982	12	2	3	7	6	5	4	0	269	8	0	10.0023	0	0.0599
DL	0.123125	12	3	0	1	6	5	2	0	551	15	0	15.0966	0	0.0041
DL	0.123232	12	3	0	7	6	5	4	0	269	8	0	9.99023	0	0.0599
DL	0.123375	12	3	1	1	6	5	2	0	440	13	0	15.1931	0	0
DL	0.123482	12	3	1	7	6	5	4	0	269	8	0	10.0764	0	0.0599
DL	0.123625	12	3	2	1	6	5	2	0	551	15	0	15.2962	0	0.0041
DL	0.123732	12	3	2	7	6	5	4	0	269	8	0	10.0698	0	0.0599
DL	0.123875	12	3	3	1	6	5	2	0	551	15	0	15.3775	0	0.0041
DL	0.123982	12	3	3	7	6	5	4	0	269	8	0	10.145	0	0.0599
DL	0.124125	12	4	0	1	6	5	2	0	551	15	0	15.4304	0	0.0041
DL	0.124232	12	4	0	7	6	5	4	0	269	8	0	10.1074	0	0.0599
DL	0.124357	12	4	1	1	5	5	2	0	459	15	0	15.0578	0	0.184934
DL	0.124446	12	4	1	6	5	5	4	0	224	8	0	10.1305	0	0.0073
DL	0.124482	12	4	1	1	12	3	2	0	884	13	0	12.0393	0	0
UL	0.124482	12	4	1	11	2	5	4	0	64	6	0	7.87328 	0	0
DL	0.124589	12	4	2	1	4	5	2	0	366	15	0	14.9346	0	0.0457
DL	0.124643	12	4	2	1	7	3	2	0	514	13	0	11.5545	0	0
DL	0.124661	12	4	2	5	4	5	4	0	178	8	0	10.239	0	0.066
UL	0.124679	12	4	2	9	1	5	2	0	42	8	0	14.1461 	0	0
UL	0.124714	12	4	2	10	2	5	4	0	64	6	0	7.92778 	0	0
DL	0.124857	12	4	3	1	5	5	2	0	459	15	0	15.0403	0	0.0235
DL	0.124964	12	4	3	6	6	5	4	0	269	8	0	10.2232	0	0.0599
DL	0.124982	12	4	3	1	12	3	2	0	884	13	0	11.7594	0	0
UL	0.124982	12	4	3	12	1	5	2	0	42	8	0	14.1447 	0	0
DL	0.125107	12	5	0	1	5	5	2	0	459	15	0	15.0256	0	0.0235
DL	0.125143	12	5	0	1	7	3	2	0	514	13	0	11.6508	0	0
DL	0.125214	12	5	0	6	6	5	4	0	269	8	0	10.1455	0	0.0599
UL	0.125232	12	5	0	12	1	5	2	0	42	8	0	14.0765 	0	0
DL	0.125375	12	5	1	1	6	5	2	0	440	13	0	14.9034	0	0
DL	0.125482	12	5	1	1	12	3	2	0	884	13	0	11.7775	0	0
