DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.121607	12	1	2	1	5	8	4	0	43	0	3	-9.51386 	1	1
DL	0.121625	12	1	2	1	6	2	1	0	634	18	0	17.9448	0	0.0005
DL	0.122982	12	2	3	1	12	2	1	0	1272	18	0	18.1866	0	0.00099975
DL	0.123036	12	3	0	1	1	2	1	0	103	18	0	18.3072	0	0.0008
DL	0.123482	12	3	1	1	12	2	1	0	1272	18	0	18.3321	0	0.00099975
DL	0.123536	12	3	2	1	1	2	1	0	103	18	0	18.3881	0	0.0001
DL	0.123982	12	3	3	1	12	2	1	0	1272	18	0	18.3322	0	0.00099975
DL	0.124036	12	4	0	1	1	2	1	0	103	18	0	18.4234	0	0.0001
DL	0.124482	12	4	1	1	12	2	1	0	1272	18	0	18.5582	0	0
DL	0.124536	12	4	2	1	1	2	1	0	103	18	0	18.5104	0	0.0001
DL	0.124982	12	4	3	1	12	2	1	0	1272	18	0	18.5641	0	0
DL	0.125036	12	5	0	1	1	2	1	0	103	18	0	18.5713	0	0.0001
UL	0.125054	12	5	0	2	1	2	1	0	103	18	0	16.9919 	0	0.0001
DL	0.125482	12	5	1	1	12	2	1	0	1272	18	0	18.5227	0	0
DL	0.125536	12	5	2	1	1	2	1	0	103	18	0	18.5126	0	0.0001
UL	0.125554	12	5	2	2	1	2	1	0	103	18	0	16.9635 	0	0.0001
DL	0.126482	12	6	1	1	12	2	1	0	1272	18	0	18.2793	0	0
DL	0.126536	12	6	2	1	1	2	1	0	103	18	0	18.322	0	0.0001
DL	0.127482	12	7	1	1	12	2	1	0	1272	18	0	18.1997	0	0.00099975
DL	0.127536	12	7	2	1	1	2	1	0	103	18	0	18.145	0	0.0008
DL	0.127982	12	7	3	1	12	2	1	0	1272	18	0	18.1754	0	0.00099975
DL	0.128036	12	8	0	1	1	2	1	0	103	18	0	18.2026	0	0.0001
DL	0.128982	12	8	3	1	12	2	1	0	1272	18	0	18.0212	0	0.00099975
DL	0.129036	12	9	0	1	1	2	1	0	103	18	0	17.7908	0	0.0008
DL	0.129482	12	9	1	1	12	2	1	0	1272	18	0	17.7728	0	0.00099975
DL	0.129536	12	9	2	1	1	2	1	0	103	18	0	17.7434	0	0.0008
DL	0.130482	13	0	1	1	12	2	1	0	1272	18	0	17.4707	0	0.00099975
DL	0.130536	13	0	2	1	1	2	1	0	103	18	0	17.365	0	0.0054
DL	0.131482	13	1	1	1	12	2	1	0	1272	18	0	17.4924	0	0.00099975
DL	0.131536	13	1	2	1	1	2	1	0	103	18	0	17.3731	0	0.0054
DL	0.132982	13	2	3	1	12	2	1	0	1272	18	0	17.0681	0	0.00099975
DL	0.133036	13	3	0	1	1	2	1	0	103	18	0	17.015	0	0.0054
DL	0.133482	13	3	1	1	12	2	1	0	1272	18	0	17.0085	0	0.00099975
DL	0.133536	13	3	2	1	1	2	1	0	103	18	0	17.0479	0	0.0054
DL	0.133982	13	3	3	1	12	2	1	0	1272	18	0	17.1467	0	0.00099975
DL	0.134036	13	4	0	1	1	2	1	0	103	18	0	17.2095	0	0.0054
DL	0.134982	13	4	3	1	12	2	1	0	1272	18	0	17.292	0	0.00099975
DL	0.135036	13	5	0	1	1	2	1	0	103	18	0	17.3034	0	0.0008
DL	0.135982	13	5	3	1	12	2	1	0	1272	18	0	17.1593	0	0.00099975
DL	0.136036	13	6	0	1	1	2	1	0	103	18	0	16.998	0	0.0054
UL	0.136054	13	6	0	2	1	2	1	0	112	19	0	15.9248 	1	0.773952
DL	0.136964	13	6	3	1	11	2	1	0	1165	18	0	16.9501	0	0.00019999
UL	0.136982	13	6	3	12	1	2	1	0	112	19	1	15.9293 	0	0
DL	0.137054	13	7	0	1	2	2	1	0	209	18	0	17.0192	0	0.0001
DL	0.137482	13	7	1	1	12	2	1	0	1272	18	0	16.9306	0	0.00099975
DL	0.137536	13	7	2	1	1	2	1	0	103	18	0	16.8285	0	0.0054
DL	0.138982	13	8	3	1	12	2	1	0	1272	18	0	16.3409	0	0.00099975
DL	0.139036	13	9	0	1	1	2	1	0	103	18	0	16.3446	0	0.0054
DL	0.139732	13	9	2	1	12	5	5	0	107	0	0	0.482192	0	0.048
DL	0.139875	13	9	3	1	6	5	5	0	52	0	0	-4.20624	1	1
DL	0.139982	13	9	3	1	12	2	1	0	1272	18	0	15.9428	0	0.00099975
DL	0.139982	13	9	3	7	6	5	2	0	52	0	0	13.7365	0	0
DL	0.140036	14	0	0	1	1	2	1	0	103	18	0	15.8083	0	0.0467
DL	0.140125	14	0	0	1	6	5	5	0	52	0	0	-0.15594	1	0.791149
DL	0.140232	14	0	0	7	6	5	2	0	52	0	0	13.731	0	0
DL	0.140482	14	0	1	1	12	6	4	0	107	0	0	-43.4492	1	1
DL	0.140482	14	0	1	1	12	2	1	0	1272	18	0	13.557	1	1
DL	0.140482	14	0	1	1	12	5	2	0	107	0	0	5.00337	0	0
DL	0.140536	14	0	2	1	1	2	1	0	103	18	0	13.62	1	1
DL	0.140625	14	0	2	1	6	5	5	0	52	0	1	-0.247493	0	0.0014
DL	0.140732	14	0	2	1	12	6	4	0	107	0	0	-43.441	1	1
DL	0.140732	14	0	2	7	6	5	5	0	52	0	2	0.234611	1	0.791149
DL	0.140875	14	0	3	1	6	5	5	0	52	0	1	0.214483	0	0
DL	0.140982	14	0	3	1	12	6	4	0	107	0	0	-43.5791	1	1
DL	0.140982	14	0	3	7	6	5	5	0	52	0	2	0.166363	0	0.791149
DL	0.141089	14	1	0	1	4	5	2	0	55	2	0	13.6413	0	0
UL	0.141161	14	1	0	5	4	5	5	0	33	0	0	0.10615 	0	0.522303
UL	0.141232	14	1	0	9	4	5	2	0	33	0	0	12.6541 	0	0
DL	0.141393	14	1	1	1	7	5	2	0	99	2	0	5.08048	0	0.0619
DL	0.141482	14	1	1	1	12	2	1	0	1272	18	1	13.4692	0	0
DL	0.141482	14	1	1	1	12	6	4	0	107	0	1	-19.7843	1	1
UL	0.141482	14	1	1	8	5	5	2	0	43	0	0	12.6333 	0	0
DL	0.141571	14	1	2	1	3	5	2	0	40	2	0	4.9142	0	0.264353
DL	0.141625	14	1	2	4	3	5	4	0	24	0	0	0.235913	1	0.985577
UL	0.141679	14	1	2	7	3	5	2	0	24	0	0	12.6532 	0	0
DL	0.141732	14	1	2	1	12	2	1	0	884	13	0	13.2831	0	0
DL	0.141732	14	1	2	1	12	6	4	0	107	0	1	-19.0176	1	1
UL	0.141732	14	1	2	10	3	5	5	0	24	0	0	-0.0435139 	0	0
DL	0.141875	14	1	3	1	6	5	2	0	440	13	0	4.94592	1	1
DL	0.141982	14	1	3	1	12	2	1	0	884	13	0	13.2791	0	0
DL	0.141982	14	1	3	1	12	6	4	0	107	0	1	-43.5095	1	1
DL	0.141982	14	1	3	7	6	5	4	0	52	0	0	0.406081	1	0.791149
DL	0.142125	14	2	0	1	6	5	2	0	84	2	0	3.12406	0	0.171088
DL	0.142232	14	2	0	1	12	4	3	0	107	0	0	-17.9587	1	1
DL	0.142232	14	2	0	1	12	8	5	0	107	0	0	-20.1603	1	1
DL	0.142232	14	2	0	1	12	2	1	0	884	13	0	7.9635	1	1
DL	0.142232	14	2	0	1	12	6	5	0	107	0	0	-18.9302	1	1
DL	0.142232	14	2	0	7	6	5	4	0	52	0	0	0.418654	1	0.791149
DL	0.142321	14	2	1	1	3	5	4	0	24	0	1	-20.3312	1	0.985577
DL	0.142375	14	2	1	4	3	5	4	0	24	0	2	-20.3459	1	0.985577
DL	0.142429	14	2	1	7	3	5	2	0	40	2	0	13.5974	0	0
DL	0.142482	14	2	1	1	12	4	3	0	107	0	0	-18.0388	1	1
DL	0.142482	14	2	1	1	12	8	5	0	107	0	0	-20.1938	1	1
DL	0.142482	14	2	1	1	12	2	1	0	884	13	0	8.0957	1	1
DL	0.142482	14	2	1	1	12	6	4	0	107	0	2	-43.0491	1	1
DL	0.142482	14	2	1	10	3	5	6	0	24	0	0	-11.2387	1	1
DL	0.142625	14	2	2	1	6	5	2	0	440	13	1	3.19563	1	1
DL	0.142643	14	2	2	1	7	2	1	0	514	13	0	7.89676	1	1
DL	0.142732	14	2	2	1	12	4	3	0	107	0	0	-17.6637	1	1
DL	0.142732	14	2	2	1	12	8	5	0	107	0	0	-19.9781	1	1
DL	0.142732	14	2	2	1	12	6	4	0	107	0	2	-42.8404	1	1
DL	0.142732	14	2	2	7	6	5	2	0	440	13	2	3.47042	0	0.0004
DL	0.142875	14	2	3	1	6	5	4	0	52	0	1	-0.0513914	0	0
DL	0.142982	14	2	3	1	12	6	4	0	107	0	2	-42.4756	1	1
DL	0.142982	14	2	3	7	6	5	4	0	52	0	2	-0.0261863	1	0.791149
DL	0.143125	14	3	0	1	6	5	4	0	52	0	1	-20.3192	1	0.791149
DL	0.143232	14	3	0	1	12	2	1	0	884	13	1	7.85389	0	0
DL	0.143232	14	3	0	1	12	4	3	0	107	0	1	-18.295	1	1
DL	0.143232	14	3	0	1	12	8	5	0	107	0	1	-20.299	1	1
DL	0.143232	14	3	0	1	12	6	5	0	107	0	1	-19.1646	1	1
DL	0.143232	14	3	0	7	6	5	4	0	52	0	2	-20.4628	1	0.791149
DL	0.143321	14	3	1	1	3	5	6	0	24	0	1	-24.0128	1	1
DL	0.143375	14	3	1	4	3	5	6	0	24	0	2	-24.0131	1	1
DL	0.143482	14	3	1	1	12	2	1	0	884	13	1	7.82391	0	0
DL	0.143482	14	3	1	1	12	4	3	0	107	0	1	-18.1481	1	1
DL	0.143482	14	3	1	1	12	8	5	0	107	0	1	-20.2895	1	1
DL	0.143482	14	3	1	1	12	6	4	0	107	0	3	-41.7567	1	1
DL	0.143482	14	3	1	7	6	5	2	0	440	13	3	13.8258	0	0
DL	0.143625	14	3	2	1	6	5	2	0	84	2	0	3.45647	0	0.171088
DL	0.143643	14	3	2	1	7	2	1	0	514	13	1	7.87523	0	0
DL	0.143732	14	3	2	1	12	4	3	0	107	0	1	-17.9584	1	1
DL	0.143732	14	3	2	1	12	8	5	0	107	0	1	-20.1412	1	1
DL	0.143732	14	3	2	1	12	6	4	0	107	0	3	-41.6102	1	1
DL	0.143732	14	3	2	7	6	5	3	0	52	0	0	-11.7884	1	1
DL	0.143875	14	3	3	1	6	5	4	0	52	0	3	-20.2987	0	0.791149
DL	0.143893	14	3	3	1	7	2	1	0	514	13	2	8.39734	1	1
DL	0.143911	14	3	3	7	2	5	2	0	26	2	0	13.8777	0	0
DL	0.143946	14	3	3	9	2	5	3	0	15	0	0	-11.7706	1	1
DL	0.143982	14	3	3	1	12	8	2	0	107	0	0	-11.5045	1	1
DL	0.143982	14	3	3	1	12	6	4	0	107	0	3	-21.988	1	1
UL	0.143982	14	3	3	11	2	5	4	0	15	0	0	-4.45717 	1	1
DL	0.144071	14	4	0	1	3	5	6	0	24	0	3	-23.8674	1	1
DL	0.144125	14	4	0	4	3	5	2	0	218	13	0	13.9428	0	0
DL	0.144179	14	4	0	7	3	5	3	0	24	0	0	-11.7061	1	1
